from	to	interaction
154	337	shm
104	445	shm
237	238	shm
5	3	shm
3	226	shm
3	231	shm
3	301	shm
3	359	shm
3	373	shm
3	423	shm
5	33	shm
88	5	shm
5	113	shm
5	173	shm
5	183	shm
186	5	shm
5	196	shm
5	242	shm
5	259	shm
5	278	shm
5	279	shm
5	287	shm
5	291	shm
5	334	shm
5	367	shm
5	372	shm
5	374	shm
5	381	shm
5	402	shm
5	440	shm
5	446	shm
5	452	shm
33	133	shm
33	359	shm
33	438	shm
33	470	shm
174	77	shm
174	88	shm
88	329	shm
102	165	shm
174	102	shm
102	323	shm
116	277	shm
374	116	shm
402	116	shm
174	163	shm
163	351	shm
163	361	shm
174	186	shm
174	233	shm
174	253	shm
174	265	shm
174	293	shm
174	338	shm
174	363	shm
174	370	shm
174	454	shm
174	480	shm
186	253	shm
186	293	shm
186	454	shm
226	193	shm
259	193	shm
259	226	shm
334	439	shm
402	439	shm
49	93	shm
93	62	shm
93	74	shm
256	442	shm
93	269	shm
93	375	shm
84	442	shm
93	442	shm
84	449	shm
93	449	shm
22	58	shm
93	22	shm
58	241	shm
93	84	shm
93	171	shm
93	371	shm
93	382	shm
93	246	shm
382	208	shm
382	416	shm
85	101	shm
357	85	shm
357	185	shm
142	70	shm
70	389	shm
69	343	shm
405	479	shm
50	405	shm
304	300	shm
376	300	shm
263	300	shm
300	404	shm
227	390	shm
227	52	shm
21	227	shm
25	227	shm
63	227	shm
89	227	shm
170	227	shm
198	227	shm
294	227	shm
407	227	shm
460	227	shm
148	227	shm
304	243	shm
376	243	shm
263	243	shm
27	39	shm
390	52	shm
170	390	shm
198	390	shm
294	390	shm
407	390	shm
460	390	shm
477	150	shm
27	477	shm
52	80	shm
170	52	shm
198	52	shm
294	52	shm
407	52	shm
460	52	shm
270	50	shm
270	177	shm
304	245	shm
376	245	shm
263	245	shm
270	379	shm
80	0	shm
105	6	shm
45	105	shm
27	105	shm
141	427	shm
27	141	shm
230	466	shm
0	29	shm
65	1	shm
164	1	shm
169	1	shm
395	1	shm
1	290	shm
27	1	shm
4	2	shm
20	2	shm
2	258	shm
4	136	shm
4	155	shm
4	203	shm
4	260	shm
27	4	shm
6	75	shm
7	12	shm
7	19	shm
71	7	shm
7	89	shm
7	119	shm
7	129	shm
7	144	shm
7	175	shm
7	215	shm
7	306	shm
7	395	shm
7	403	shm
7	421	shm
7	475	shm
8	147	shm
8	176	shm
8	272	shm
315	8	shm
8	384	shm
8	429	shm
27	8	shm
9	443	shm
258	9	shm
75	9	shm
474	10	shm
10	273	shm
27	10	shm
11	118	shm
11	234	shm
27	11	shm
448	12	shm
12	230	shm
36	14	shm
42	14	shm
448	15	shm
15	232	shm
290	16	shm
345	16	shm
75	16	shm
448	17	shm
17	418	shm
18	282	shm
27	18	shm
19	51	shm
19	211	shm
448	19	shm
303	19	shm
20	114	shm
20	388	shm
27	20	shm
362	20	shm
21	45	shm
21	67	shm
69	21	shm
21	201	shm
21	307	shm
21	315	shm
21	330	shm
23	57	shm
23	118	shm
23	136	shm
23	158	shm
23	188	shm
295	23	shm
23	339	shm
23	396	shm
23	456	shm
23	137	shm
27	23	shm
24	147	shm
27	24	shm
399	26	shm
26	462	shm
282	26	shm
27	28	shm
30	339	shm
27	30	shm
32	228	shm
32	340	shm
27	32	shm
34	42	shm
27	34	shm
36	68	shm
36	112	shm
36	158	shm
36	328	shm
27	36	shm
37	97	shm
37	114	shm
37	115	shm
37	157	shm
37	159	shm
37	180	shm
37	365	shm
27	37	shm
40	90	shm
40	310	shm
27	40	shm
41	346	shm
27	41	shm
43	122	shm
43	176	shm
219	43	shm
43	228	shm
43	254	shm
43	260	shm
43	314	shm
43	252	shm
27	43	shm
201	46	shm
27	46	shm
290	47	shm
345	47	shm
27	48	shm
51	229	shm
27	51	shm
290	53	shm
345	53	shm
54	161	shm
27	54	shm
286	55	shm
75	55	shm
79	55	shm
56	447	shm
56	461	shm
56	462	shm
27	56	shm
27	59	shm
425	60	shm
464	60	shm
60	486	shm
27	60	shm
198	61	shm
71	63	shm
63	130	shm
63	164	shm
63	219	shm
63	309	shm
63	332	shm
63	376	shm
63	79	shm
64	217	shm
64	358	shm
27	64	shm
148	65	shm
69	66	shm
67	326	shm
97	68	shm
69	71	shm
69	72	shm
69	92	shm
69	169	shm
69	170	shm
69	354	shm
69	377	shm
69	411	shm
69	412	shm
69	417	shm
69	425	shm
69	448	shm
69	378	shm
71	220	shm
71	468	shm
72	250	shm
72	271	shm
72	284	shm
72	348	shm
27	73	shm
144	78	shm
27	78	shm
81	155	shm
27	81	shm
290	82	shm
345	82	shm
42	82	shm
294	87	shm
89	295	shm
89	399	shm
89	464	shm
95	283	shm
27	95	shm
221	97	shm
97	429	shm
27	98	shm
99	476	shm
75	99	shm
103	122	shm
103	433	shm
27	103	shm
27	106	shm
107	483	shm
27	107	shm
27	110	shm
111	322	shm
111	137	shm
27	111	shm
486	112	shm
170	117	shm
117	434	shm
448	119	shm
119	143	shm
120	109	shm
27	120	shm
123	349	shm
27	123	shm
307	126	shm
126	340	shm
126	383	shm
126	398	shm
126	463	shm
27	126	shm
27	127	shm
27	128	shm
220	129	shm
129	295	shm
131	456	shm
27	131	shm
486	132	shm
135	467	shm
27	135	shm
27	138	shm
215	139	shm
27	139	shm
27	140	shm
140	472	shm
326	145	shm
145	478	shm
213	147	shm
27	149	shm
436	151	shm
230	151	shm
273	153	shm
282	153	shm
212	153	shm
251	159	shm
159	339	shm
164	276	shm
42	167	shm
408	168	shm
161	168	shm
294	178	shm
290	180	shm
345	180	shm
75	181	shm
230	182	shm
474	187	shm
27	189	shm
284	191	shm
346	192	shm
194	262	shm
27	194	shm
222	195	shm
27	197	shm
75	200	shm
292	203	shm
205	462	shm
27	205	shm
27	209	shm
27	210	shm
448	215	shm
335	217	shm
273	218	shm
212	218	shm
219	404	shm
148	221	shm
148	224	shm
27	225	shm
290	229	shm
345	229	shm
290	235	shm
345	235	shm
27	236	shm
75	239	shm
283	239	shm
161	240	shm
27	247	shm
27	248	shm
27	251	shm
27	257	shm
258	262	shm
27	266	shm
422	267	shm
267	44	shm
75	267	shm
268	478	shm
27	268	shm
362	274	shm
290	275	shm
345	275	shm
290	281	shm
345	281	shm
27	285	shm
27	286	shm
292	419	shm
27	292	shm
290	297	shm
345	297	shm
290	299	shm
345	299	shm
27	302	shm
376	304	shm
304	204	shm
304	263	shm
304	404	shm
306	457	shm
406	310	shm
27	311	shm
27	312	shm
290	313	shm
345	313	shm
75	314	shm
27	316	shm
27	317	shm
486	319	shm
482	319	shm
290	321	shm
345	321	shm
75	322	shm
27	324	shm
27	326	shm
393	327	shm
290	327	shm
345	327	shm
331	355	shm
27	333	shm
27	335	shm
395	336	shm
230	336	shm
27	341	shm
347	365	shm
27	347	shm
290	350	shm
345	350	shm
148	356	shm
290	358	shm
345	358	shm
148	364	shm
75	365	shm
273	365	shm
212	365	shm
290	369	shm
345	369	shm
376	453	shm
376	204	shm
376	263	shm
376	404	shm
290	380	shm
345	380	shm
